id,value
intro_title,ريتات السعودية
intro_body,هذا الموقع هو ثمرة مشروع جانبي جمعت فيه بعض مما أظن أنها المقاييس المالية المهمة للمستثمر في صناديق الاستثمار العقاري المتداولة في السعودية. كان لغرض شخصي ثم قررت فيما بعد نشره للفائدة العامة. اختر صندوق من القائمة لتشاهد المقاييس المالية المتعلقة.
ticker_label,وسيط الصندوق التاريخي
sector_label,وسيط القطاع الحالي
price_title,السعر وصافي قيمة الأصول السوقية للوحدة Price and Net Asset Value
price_body,يوضح الرسم البياني أداء السهم والقيمة العادلة حسب إفصاح الصندوق. 
main_title,
main_body,تقوم فكرة الموقع بشكل رئيسي على تقييم الصناديق بالنظر إلى الأموال من العمليات التشغيلية Funds From Operation (FFO) (أو أموال العمليات التشغيلية) بدلاً من النظر للإيرادات Eranings أو صافي الدخل Net Income وهو مقياس تم استحداثه بواسطة الرابطة (الأمريكية) الوطنية لصناديق الاستثمار العقاري (NAREIT). بالرغم من كونه مقياس غير معياري في مبادئ المحاسبة إلا أنه يوجد إتفاق عام بين الماليين أنه المقياس الأكثر دقة في وصف نشاطات الصندوق، وتقوم كثير من الصناديق حول العالم بإعلانه في القوائم المالية اختيارياً. في السعودية، يوجد 3 صناديق تقوم بإعلانه في القوائم المالية هم: الرياض ريت، الأهلي ريت، والراجحي ريت. على أي حال، هو رقم يمكن بسهولة حسابه بالنظر للقوائم المالية للصندوق. لماذا الأموال من العمليات التشغيلية بدلاً من الإيرادات وصافي الدخل؟ السبب الرئيسي: الاهلاك أو الهبوط في قيمة الأصول الثابتة.
pffo_title,مكرر الأموال من العمليات P/FFO
pffo_body,يعتبر مكرر الأموال من العمليات P/FFO بالنسبة للصناديق العقارية مثل مكرر الربحية P/E بالنسبة للشركات
yield_title,عائد التوزيعات النقدية Dividend Yield
yield_body,العائد على سعر السهم
ffos_title,ربحية السهم من الأموال من العمليات FFO/Share
ffos_body,عند تقييم الصناديق العقارية، تعتبر ربحية السهم من الأموال من العمليات البديل للمقياس المالي ربحية السهم Earnings Per Sahre (EPS) المعمول به عن تقييم الشركات. الصناديق العقارية الناجحة تزيد باستمرار من ربحية السهم من الأموال من العمليات مما يعطيها فرصة للتوسع وبالتالي دعم التوزيعات النقدية وارتفاع سعر السهم.
ffo_payout_title,نسبة التوزيعات النقدية إلى الأموال من العمليات FFO Payout Raito
ffo_payout_body,مقدار التوزيعات النقدية بالنسبة إلى الأموال من العمليات بدلاً من احتسابها بالنسبة إلى صافي الدخل كما هو معمول به في الشركات. بالنسبة للصناديق العقارية فإن الرقم المفضل هو أقل من 90%. زيادة النسبة بشكل مستمر تشير إلى أن التوزيعات تنمو بوتيرة أسرع من نمو الأموال من العمليات للصندوق.
